Formacion,Serie,Composición,Coche 1,Coche 2,Coche 3,Coche 4,Coche 5
1A,CNR Citic,Dupla + Tripla,Rca201,Mpa201,Mpb201,M201,Rc201
2B,CNR Citic,Dupla + Tripla,Rca202,Mpa202,Mpb202,M202,Rc202
3C,CNR Citic,Dupla + Tripla,Rca203,Mpa203,Mpb203,M203,Rc203
4D,CNR Citic,Dupla + Tripla,Rca204,Mpa204,Mpb204,M204,Rc204
5E,CNR Citic,Dupla + Tripla,Rca205,Mpa205,Mpb205,M205,Rc205
6F,CNR Citic,Dupla + Tripla,Rca206,Mpa206,Mpb206,M206,Rc204
7G,CNR Citic,Dupla + Tripla,Rca207,Mpa207,Mpb207,M207,Rc207
8H,CNR Citic,Dupla + Tripla,Rca208,Mpa208,Mpb208,M208,Rc208
9I,CNR Citic,Dupla + Tripla,Rca209,Mpa209,Mpb209,M209,Rc209
10,CNR Citic,Dupla + Tripla,Rca210,Mpa210,Mpb210,M210,Rc210
11,CNR Citic,Dupla + Tripla,Rca211,Mpa211,Mpb211,M211,Rc211