Formación,Serie,1,2,3,4,5,6,¿Reformada?
A,300,311,853,852,859,854,312,No
B,300,319,862,857,855,858,320,No
C,1200,1211,1811,1906,1710,1812,1212,No
D,300,317,849,850,851,864,318,Si
E,300,315,856,860,861,863,316,Si
F,1200,1205,1805,1903,1616,1806,1206,Si
G,1200,1213,1813,1907,1704,1814,1214,Si
H,250,267,748,749,744,763,268,No
I,250,263,756,757,741,742,264,No
J,300,333,865,866,867,868,334,Si
K,300,335,869,870,871,872,336,No
L,300,337,873,874,875,876,338,No
M,1200,1207,1807,1904,1618,1808,1208,No
N,5000,5115,5215,5315,5415,5515,5615,No
O,5000,5103,5203,5303,5403,5503,5603,No
P,5000,5112,5212,5312,5412,5512,5612,No