Formación,Coches,1,2,3,4,5,6,7
1,7,FU5001,U5048,U5050,U5087,U5055,U5159,FU5009
2,7,FU5015,U5069,U5059,U5065,U5066,U5064,FU5008
3,7,FU5035,U5133,U5158,U5157,U5126,U5117,FU5024
4,7,FU5028,U5130,U5136,U5152,U5111,U5137,FU5039
5,7,FU5041,U5103,U5149,U5148,U5124,U5128,FU5038
7,7,FU5030,U5138,U5131,U5141,U5142,U5145,FU5006
8,7,FU5014,U5104,U5132,U5129,U5076,U5088,FU5027
9,7,FU5036,U5127,U5101,U5102,U5098,U5135,FU5033
11,7,FU5026,U5100,U5123,U5116,U5119,U5121,FU5022
12,7,FU5007,U5062,U5072,U5095,U5113,U5081,FU5019
13,7,FU5003,U5091,U5079,U5057,U5122,U5053,FU5017
14,7,FU5005,U5077,U5094,U5061,U5063,U5060,FU5002
16,7,FU5012,U5083,U5080,U5082,U5073,U5078,FU5023
18,7,FU5013,U5049,U5068,U5067,U5052,U5089,FU5000
20,6,FU5046,U5096,U5155,U5051,U5140,FU5025,
21,6,FU5143,U5108,U5112,U5147,U5093,FU5032,
22,6,FU5031,U5086,U5089,U5109,U5151,FU5010,
23,6,FU5030,U5084,U5086,U5090,U5071,FU5047,