Formación,1,2,3,4,5,6
1,MU3870,MU3818,MU3844,MU3893,MU3824,MU3876
2,MU3822,MU3874,MU3807,MFU3003,MU3800,MU3864
3,MU3838,MU3894,MU3825,MU3877,MU3904,MU3852
4,MU3868,MU3816,MU3811,MFU3007,MU3871,MU3819
5,MU3851,MU3903,MU3862,MU3914,MU3886,MU3834
6,MU3801,MU3865,MU3815,MFU3011,MU3849,MU3811
7,MU3832,MU3882,MU3813,MFU3009,MU3861,MU3901
8,MU3831,MU3883,MU3896,MU3842,MU3846,MU3898
9,MU3900,MU3821,MU3866,MU3805,MU3895,MU3841
10,MU3863,MU3915,MU3829,MU3881,MU3806,MU3867
11,MU3843,MU3889,MU3802,MFU3000,MU3833,MU3885
12,MU3840,MU3890,MU3884,MU3830,MU3847,MU3899
13,MU3892,MU3837,MU3826,MU3878,MU3872,MU3820
14,MU3957,MU3909,MU3809,MFU3005,MU3859,MU3911
15,MU3839,MU3891,MU3912,MU3860,MU3879,MU3827
16,MU3848,MU3873,MU3810,MFU3006,MU3855,MU3907
17,MU3841,MU3895,MU3805,MU3866,MU3821,MU3900
18,MU3910,MU3858,MU3803,MFU3001,MU3835,MU3887