Formación,TC1,M1,M2,T3,M4,TC2,Ramal
M01,MC001,MM002,MM003,MM004,MM005,MC006,
M02,MC007,MM008,MM009,MM010,MM011,MC012,Bartolomé Mitre
M03,MC013,MM014,MM015,MM016,MM017,MC018,Tigre
M04,MC019,MM020,MM021,MM022,MM023,MC024,Tigre
M05,MC025,MM026,MM027,MM028,MM029,MC030,
M06,MC031,MM032,MM033,MM034,MM035,MC036,
M07,MC037,MM038,MM039,MM040,MM041,MC042,Tigre
M08,MC043,MM044,MM045,MM046,MM047,MC048,Tigre
M09,MC049,MM050,MM051,MM052,MM053,MC054,
M10,MC055,MM056,MM057,MM058,MM059,MC060,
M11,MC061,MM062,MM063,MM064,MM065,MC066,
M12,MC067,MM068,MM069,MM070,MM071,MC072,
M13,MC073,MM074,MM075,MM076,MM077,MC078,
M14,MC079,MM080,MM081,MM082,MM083,MC084,
M15,MC085,MM086,MM087,MM088,MM089,MC090,
M16,MC091,MM092,MM093,MM094,MM095,MC096,
M17,MC097,MM098,MM099,MM100,MM101,MC102,
M18,MC103,MM104,MM105,MM106,MM107,MC108,
M19,MC109,MM110,MM111,MM112,MM113,MC114,Tigre
M20,MC115,MM116,MM117,MM118,MM119,MC120,
M21,MC121,MM122,MM123,MM124,MM125,MC126,Tigre
M22,MC127,MM128,MM129,MM130,MM131,MC132,Tigre
M23,MC133,MM134,MM135,MM136,MM137,MC138,
M24,MC139,MM140,MM141,MM142,MM143,MC144,José León Suárez
M25,MC145,MM146,MM147,MM148,MM149,MC150,José León Suárez
M26,MC151,MM152,MM153,MM154,MM155,MC156,
M27,MC157,MM158,MM159,MM160,MM161,MC162,José León Suárez
M28,MC163,MM164,MM165,MM166,MM167,MC168,
M29,MC169,MM170,MM171,MM172,MM173,MC174,
M30,MC175,MM176,MM177,MM178,MM179,MC180,José León Suárez