Formación,TC1,M1-1,M2-1,T3,M1-2,M2-2,M3,M4,TC2
RC01,SC001,SM002,SM003,SR004,SM005,SM006,SM007,SM008,SC009
RC02,SC010,SM011,SM012,SR013,SM014,SM015,SM016,SM017,SC018
RC03,SC019,SM020,SM021,SR022,SM023,SM024,SM025,SM026,SC027
RC04,SC028,SM029,SM030,SR031,SM032,SM033,SM034,SM035,SC036
RC05,SC037,SM038,SM039,SR040,SM041,SM042,SM043,SM044,SC045
RC06,SC046,SM047,SM048,SR049,SM050,SM051,SM052,SM053,SC054
RC07,SC055,SM056,SM057,SR058,SM059,SM060,SM061,SM062,SC063
RC08,SC064,SM065,SM066,SR067,SM068,SM069,SM070,SM071,SC072
RC09,SC073,SM074,SM075,SR076,SM077,SM078,SM079,SM080,SC081
RC10,SC082,SM083,SM084,SR085,SM086,SM087,SM088,SM089,SC090
RC11,SC091,SM092,SM093,SR094,SM095,SM096,SM097,SM098,SC099
RC12,SC100,SM101,SM102,SR103,SM104,SM105,SM106,SM107,SC108
RC13,SC109,SM110,SM111,SR112,SM113,SM114,SM115,SM116,SC117
RC14,SC118,SM119,SM120,SR121,SM122,SM123,SM124,SM125,SC126
RC15,SC127,SM128,SM129,SR130,SM131,SM132,SM133,SM134,SC135
RC16,SC136,SM137,SM138,SR139,SM140,SM141,SM142,SM143,SC144
RC17,SC145,SM146,SM147,SR148,SM149,SM150,SM151,SM152,SC153
RC18,SC154,SM155,SM156,SR157,SM158,SM159,SM160,SM161,SC162
RC19,SC163,SM164,SM165,SR166,SM167,SM168,SM169,SM170,SC171
RC20,SC172,SM173,SM174,SR175,SM176,SM177,SM178,SM179,SC180
RC21,SC181,SM182,SM183,SR184,SM185,SM186,SM187,SM188,SC189
RC22,SC190,SM191,SM192,SR193,SM194,SM195,SM196,SM197,SC198
RC23,SC199,SM200,SM201,SR202,SM203,SM204,SM205,SM206,SC207
RC24,SC208,SM209,SM210,SR211,SM212,SM213,SM214,SM215,SC216
RC25,SC217,SM218,SM219,SR220,SM221,SM222,SM223,SM224,SC225