Nomenclatura principal,Nomenclatura secundaria,Nomenclatura original,Apertura,Andén,Áreas de salida a hall,Salidas a superficie,Cartelería de Próximo Subte,Ventilación,Ventiladores/extractores,Ascensor al hall,Ascensor a la estación,Baños (pares),Asientos (a Rosas),Asientos (a Alem),Apoyos isquiáticos en total,Cestos de reciclables (a Rosas),Cestos de reciclables (a Alem),Cestos de inorgánicos (a Rosas),Cestos de inorgánicos (a Alem)
Juan Manuel de Rosas,,Villa Urquiza,2014,Central,2,,,Extractores,,2,2,1,,,,,,,
Echeverría,,Echeverría,2014,Lateral,2,,4,Extractores,,1,2,1,3,3,14,2,3,3,2
De Los Incas,Parque Chas,De Los Incas,2003,Central,1,,4,Extractores,6,1,1,1,6,6,5,,,,
Tronador,Villa Ortúzar,Tronador,2003,Central,1,,,Extractores,,1,1,1,,,,,,,
Federico Lacroze,,Federico Lacroze,,Lateral,6,,,Forzada,,0,0,0,,,,,,,
Dorrego,,Dorrego,,Lateral,2,4,,Forzada,,0,0,0,,,,,,,
Malabia,Osvaldo Pugliese,Canning,,Lateral,2,4,,Forzada,,0,0,0,,,,,,,
Angel Gallardo,,Río de Janeiro,,Lateral,2,4,,Forzada,,0,0,0,,,,,,,
Medrano,,Medrano,,Lateral,2,4,,Forzada,,0,0,0,,,,,,,
Carlos Gardel,,Carlos Gardel,,Lateral,4,4,,Forzada,,0,0,0,,,,,,,
Pueyrredón,,Pueyrredón,,Lateral,4,,,Forzada,,0,0,0,,,,,,,
Pasteur,AMIA,Pasteur,,Lateral,4,,,Extractores,,0,0,0,,,,,,,
Callao,,Callao,,Lateral,4,,,Forzada,,1,2,0,,,,,,,
Uruguay,,Uruguay,,Lateral,4,,,Forzada,,1,2,0,,,,,,,
Carlos Pellegrini,,Carlos Pellegrini,,Central,2,4,,Forzada,,0,0,0,,,,,,,
Florida,,Florida,,Central,2,4,,Forzada,,0,0,1,,,,,,,
Leandro N. Alem,,Leandro N. Alem,,Central,1,,,Forzada,,0,0,1,,,,,,,